epoch,step,train_loss
0,49,10.464984893798828
1,99,10.840489387512207
2,149,9.331770896911621
3,199,8.772878646850586
4,249,8.790475845336914
5,299,8.790277481079102
6,349,8.7520112991333
7,399,8.514603614807129
8,449,8.93960189819336
9,499,8.39463996887207
10,549,8.193076133728027
11,599,7.978987216949463
12,649,7.811957836151123
13,699,7.881539344787598
14,749,7.865398406982422
15,799,7.541747570037842
16,849,7.496295928955078
17,899,7.274712085723877
18,949,7.3707146644592285
19,999,7.2908935546875
