epoch,step,train_loss
0,49,9.889973640441895
1,99,8.743699073791504
2,149,8.364949226379395
3,199,8.323280334472656
4,249,8.295330047607422
5,299,8.071944236755371
6,349,7.984974384307861
7,399,7.878949165344238
8,449,7.723993301391602
9,499,8.001011848449707
10,549,8.178633689880371
11,599,7.728468418121338
12,649,7.550351142883301
13,699,7.446135997772217
14,749,7.546997547149658
15,799,7.3960490226745605
16,849,7.936952590942383
17,899,7.427281379699707
18,949,7.2833757400512695
19,999,7.114528656005859
